repo,stars,language,age_years,merged_prs,releases,days_since_update,total_issues,closed_issues,issues_ratio
lukasz-madon/awesome-remote-job,36670,Não especificada,10.12,582,0,0.02,73,71,0.9726
aria2/aria2,36665,C++,14.21,252,24,0.21,1869,818,0.4377
microsoft/markitdown,36650,HTML,0.25,78,3,0.01,162,35,0.216
istio/istio,36474,Go,8.24,27174,370,0.16,20484,20005,0.9766
tmux/tmux,36439,C,9.7,1,37,0.01,3571,3520,0.9857
ultralytics/ultralytics,36437,Python,2.42,2784,148,0.01,10310,9594,0.9306
photoprism/photoprism,36410,Go,7.05,697,71,0.07,2256,1780,0.789
penpot/penpot,36363,Clojure,9.13,3507,46,0.01,1704,1307,0.767
AykutSarac/jsoncrack.com,36360,TypeScript,3.04,83,20,0.02,242,211,0.8719
TencentARC/GFPGAN,36300,Python,3.91,14,8,0.01,481,129,0.2682
AobingJava/JavaFamily,36274,Não especificada,5.26,2,0,0.35,63,60,0.9524
novuhq/novu,36237,TypeScript,3.47,5052,40,0.02,1544,1320,0.8549
Mintplex-Labs/anything-llm,36139,JavaScript,1.7,834,10,0.0,2053,1842,0.8972
opentofu/manifesto,36138,HTML,1.5,764,0,0.03,26,13,0.5
SimplifyJobs/Summer2025-Internships,36117,Não especificada,4.73,1668,0,0.01,2838,2836,0.9993
freqtrade/freqtrade,36117,Python,7.74,5527,94,0.04,4997,4963,0.9932
OpenBB-finance/OpenBB,36109,Python,4.15,4015,42,0.01,2204,2168,0.9837
dotnet/aspnetcore,36080,C#,10.93,16856,243,0.06,36009,32492,0.9023
exacity/deeplearningbook-chinese,36046,TeX,8.19,16,7,0.01,202,138,0.6832
NervJS/taro,36028,TypeScript,6.85,3270,186,0.05,11900,10476,0.8803
vlang/v,36024,V,6.02,11607,245,0.09,9091,8141,0.8955
satwikkansal/wtfpython,36005,Python,7.46,109,2,0.43,214,142,0.6636
gradio-app/gradio,35983,Python,6.15,4259,1000,0.01,5323,4878,0.9164
microsoft/AI-For-Beginners,35980,Jupyter Notebook,3.95,164,0,0.0,121,101,0.8347
alibaba/arthas,35959,Java,6.46,529,58,0.46,2050,1693,0.8259
naptha/tesseract.js,35957,JavaScript,9.64,190,55,0.35,713,680,0.9537
trpc/trpc,35943,TypeScript,4.58,3505,200,0.01,1180,1076,0.9119
denysdovhan/wtfjs,35915,JavaScript,7.59,124,25,0.06,115,96,0.8348
files-community/Files,35908,C#,6.11,5119,123,0.03,10259,9800,0.9553
open-guides/og-aws,35865,Shell,8.59,498,0,0.34,227,87,0.3833
XingangPan/DragGAN,35848,Python,1.74,18,0,0.3,190,46,0.2421
lerna/lerna,35819,TypeScript,9.2,975,239,0.09,2653,2266,0.8541
jgm/pandoc,35790,Haskell,14.9,1637,143,0.05,7773,6746,0.8679
helix-editor/helix,35769,Rust,4.7,3882,28,0.02,4870,4175,0.8573
babysor/MockingBird,35753,Python,3.52,81,1,0.36,886,411,0.4639
freeCodeCamp/devdocs,35728,Ruby,11.31,836,0,0.16,1197,1017,0.8496
astral-sh/ruff,35697,Rust,2.51,8865,347,0.01,6139,4912,0.8001
Kong/insomnia,35635,JavaScript,8.81,3014,493,0.14,3718,3053,0.8211
appsmithorg/appsmith,35618,TypeScript,4.62,13211,265,0.22,22519,18425,0.8182
sharkdp/fd,35528,Rust,7.77,611,40,0.01,874,769,0.8799
colinhacks/zod,35509,TypeScript,4.94,531,92,0.02,2061,1581,0.7671
shadowsocks/shadowsocks-android,35467,Kotlin,12.16,256,185,0.16,2502,2459,0.9828
geekxh/hello-algorithm,35465,Java,4.71,26,0,0.01,44,32,0.7273
google/googletest,35423,C++,9.55,810,10,0.03,2276,1968,0.8647
SheetJS/sheetjs,35383,Não especificada,12.2,106,0,0.34,2384,2267,0.9509
saadeghi/daisyui,35380,Svelte,4.21,345,53,0.03,1690,1576,0.9325
alvarotrigo/fullPage.js,35379,JavaScript,11.4,315,101,0.08,4113,3978,0.9672
huihut/interview,35360,C++,7.01,35,0,0.03,64,40,0.625
ray-project/ray,35352,Python,8.3,24411,100,0.02,19390,15684,0.8089
openai/gym,35336,Python,8.8,999,19,0.0,1837,1725,0.939
koajs/koa,35336,JavaScript,11.57,501,2,0.19,911,892,0.9791
date-fns/date-fns,35289,TypeScript,10.36,1068,122,0.08,1954,1356,0.694
