repo,stars,language,age_years,merged_prs,releases,days_since_update,total_issues,closed_issues,issues_ratio
jashkenas/underscore,27379,JavaScript,15.3,746,0,0.08,1424,1394,0.9789
Textualize/textual,27303,Python,3.85,1992,159,0.02,2084,1909,0.916
openai/CLIP,27303,Jupyter Notebook,4.16,28,0,0.01,410,189,0.461
zhiwehu/Python-programming-exercises,27263,Não especificada,12.67,0,0,0.09,85,17,0.2
Tencent/weui,27257,HTML,10.16,203,51,0.36,668,615,0.9207
motiondivision/motion,27245,TypeScript,6.24,965,0,0.03,1738,1489,0.8567
michalsnik/aos,27228,JavaScript,9.6,38,0,0.1,700,360,0.5143
mindsdb/mindsdb,27189,Python,6.53,4771,280,0.01,4098,4017,0.9802
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,27180,Jupyter Notebook,12.08,243,0,0.39,245,90,0.3673
XTLS/Xray-core,27170,Go,4.26,843,76,0.01,2343,2335,0.9966
vnpy/vnpy,27166,Python,9.95,1043,62,0.02,2076,2070,0.9971
XIU2/TrackersListCollection,27112,Não especificada,5.36,5,0,0.01,0,0,0.0
feder-cr/Jobs_Applier_AI_Agent_AIHawk,27095,Python,0.53,185,0,0.01,677,653,0.9645
Automattic/mongoose,27092,JavaScript,14.86,3246,175,0.03,10949,10724,0.9795
crossoverJie/JCSprout,27091,Java,7.16,69,0,0.07,89,59,0.6629
dnSpy/dnSpy,27070,C#,9.62,53,1,0.41,0,0,0.0
dragonflydb/dragonfly,27062,C++,3.18,2714,91,0.06,1450,1241,0.8559
Aider-AI/aider,27051,Python,1.77,180,81,0.01,2745,2273,0.8281
imDazui/Tvlist-awesome-m3u-m3u8,27044,Não especificada,7.99,1,0,0.09,70,47,0.6714
tj/commander.js,27026,JavaScript,13.5,783,82,0.56,1105,1100,0.9955
firecracker-microvm/firecracker,27023,Rust,7.32,2908,75,0.17,1431,1370,0.9574
qianguyihao/Web,26981,Não especificada,8.11,0,0,0.02,212,152,0.717
vercel/turborepo,26972,Rust,3.36,5710,459,0.03,1831,1702,0.9295
awesome-foss/awesome-sysadmin,26963,Não especificada,10.14,317,0,0.01,100,86,0.86
Homebrew/legacy-homebrew,26957,Não especificada,15.74,222,0,0.81,17029,17029,1.0
codemirror/codemirror5,26941,JavaScript,14.08,594,173,0.31,4195,3787,0.9027
python-telegram-bot/python-telegram-bot,26940,Python,9.61,1525,121,0.07,2220,2205,0.9932
telegramdesktop/tdesktop,26920,C++,10.79,1618,768,0.0,14666,13814,0.9419
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,26900,Python,1.89,477,7,0.05,1767,1273,0.7204
swagger-api/swagger-ui,26895,JavaScript,13.58,3191,350,0.09,5550,4387,0.7905
getredash/redash,26890,Python,11.3,3218,99,0.21,2531,1939,0.7661
coder2gwy/coder2gwy,26883,Não especificada,4.12,2,0,0.03,155,28,0.1806
AdguardTeam/AdGuardHome,26864,Go,8.61,121,193,0.15,5549,4534,0.8171
ajaxorg/ace,26856,JavaScript,14.3,1847,97,0.2,3126,3033,0.9702
rethinkdb/rethinkdb,26844,C++,12.29,460,72,0.45,6392,5047,0.7896
kuchin/awesome-cto,26843,Não especificada,8.16,12,0,0.0,11,9,0.8182
angular/angular-cli,26818,TypeScript,9.7,11024,793,0.04,15773,15491,0.9821
go-kit/kit,26810,Go,10.03,479,13,0.22,566,527,0.9311
fzaninotto/Faker,26796,PHP,13.33,823,12,0.17,570,494,0.8667
CorentinTh/it-tools,26790,Vue,4.86,489,10,0.04,546,187,0.3425
AvaloniaUI/Avalonia,26760,C#,11.19,5087,97,0.27,7459,5904,0.7915
mongodb/mongo,26751,C++,16.08,125,0,0.02,0,0,0.0
tailwindlabs/headlessui,26751,TypeScript,4.41,587,120,0.23,1339,1240,0.9261
nvie/gitflow,26739,Shell,15.06,36,0,0.08,364,126,0.3462
houshanren/hangzhou_house_knowledge,26736,CSS,6.97,6,0,0.61,148,49,0.3311
grafana/k6,26729,Go,8.9,1894,67,0.08,2191,1515,0.6915
sunface/rust-course,26721,Rust,6.52,749,0,0.02,206,148,0.7184
wailsapp/wails,26720,Go,6.16,1364,225,0.01,1911,1660,0.8687
taichi-dev/taichi,26707,C++,8.22,5154,117,0.0,2678,1867,0.6972
vbenjs/vue-vben-admin,26666,Vue,4.59,1411,54,0.04,3084,3016,0.978
openssl/openssl,26622,C,12.08,143,274,0.08,10286,8665,0.8424
fastai/fastai,26610,Jupyter Notebook,7.43,1683,55,0.09,1806,1594,0.8826
bvaughn/react-virtualized,26592,JavaScript,9.28,454,6,0.08,1217,1213,0.9967
dmlc/xgboost,26577,C++,11.02,4670,62,0.14,5392,4985,0.9245
ghostty-org/ghostty,26552,Zig,2.88,1954,1,0.01,1595,1465,0.9185
DataExpert-io/data-engineer-handbook,26528,Jupyter Notebook,1.24,140,0,0.07,42,35,0.8333
svc-develop-team/so-vits-svc,26513,Python,1.93,153,0,0.05,129,108,0.8372
hashicorp/vagrant,26479,Ruby,15.06,2711,133,0.08,9561,8881,0.9289
Asabeneh/30-Days-Of-React,26452,JavaScript,4.37,10,0,0.2,76,18,0.2368
rxhanson/Rectangle,26451,Swift,5.65,252,89,0.12,665,570,0.8571
remy/nodemon,26443,JavaScript,14.36,308,102,0.91,1671,1669,0.9988
duckdb/duckdb,26424,C++,6.64,7044,46,0.0,5525,5212,0.9433
microsoft/cascadia-code,26422,Python,5.6,84,20,0.31,638,496,0.7774
crewAIInc/crewAI,26422,Python,1.3,559,76,0.01,1110,992,0.8937
ggreer/the_silver_searcher,26346,C,13.24,399,0,0.15,849,412,0.4853
deezer/spleeter,26333,Python,5.38,51,2,0.0,783,561,0.7165
ossrs/srs,26332,C++,9.8,463,66,0.0,1458,1258,0.8628
ValdikSS/GoodbyeDPI,26315,C,7.75,24,30,0.17,694,566,0.8156
t3-oss/create-t3-app,26307,TypeScript,2.73,1087,135,0.03,702,647,0.9217
facebookresearch/Detectron,26302,Python,7.36,0,0,0.02,926,620,0.6695
VSCodium/vscodium,26295,Shell,6.5,486,210,0.01,1377,1255,0.9114
quasarframework/quasar,26257,JavaScript,9.36,3633,987,0.21,7901,7396,0.9361
kovidgoyal/kitty,26256,Python,8.33,1074,121,0.02,5874,5860,0.9976
rstacruz/nprogress,26247,JavaScript,11.48,34,7,0.16,155,52,0.3355
qiurunze123/miaosha,26245,Java,6.42,20,0,0.01,82,80,0.9756
drizzle-team/drizzle-orm,26238,TypeScript,3.64,565,128,0.03,2637,1558,0.5908
cmderdev/cmder,26167,C++,11.6,430,34,0.07,2281,2227,0.9763
emscripten-core/emscripten,26155,C++,14.0,11539,0,0.01,9508,7665,0.8062
OpenBMB/ChatDev,26154,Python,1.46,110,9,0.05,269,246,0.9145
sindresorhus/awesome-electron,26093,Não especificada,9.81,268,0,0.22,44,42,0.9545
signalapp/Signal-Android,26076,Kotlin,13.16,238,78,0.0,10981,10576,0.9631
khoj-ai/khoj,26057,Python,3.5,446,126,0.01,510,442,0.8667
jumpserver/jumpserver,26053,Python,10.61,6991,239,0.0,6923,6844,0.9886
facebookresearch/fastText,26052,HTML,8.58,12,4,0.02,1077,611,0.5673
airbnb/lottie-ios,26021,Swift,8.35,719,69,0.08,1440,1414,0.9819
pjreddie/darknet,26004,C,10.84,10,0,0.06,2372,561,0.2365
nginx/nginx,25987,C,9.64,51,4,0.03,196,91,0.4643
viatsko/awesome-vscode,25953,JavaScript,9.02,243,0,0.03,50,26,0.52
select2/select2,25945,JavaScript,12.95,713,29,0.26,4824,4717,0.9778
dwmkerr/hacker-laws,25940,Shell,7.05,179,1,0.05,209,71,0.3397
valinet/ExplorerPatcher,25925,C,3.51,15,287,0.0,2283,2053,0.8993
littlecodersh/ItChat,25916,Python,9.07,29,13,0.0,905,623,0.6884
nextauthjs/next-auth,25914,TypeScript,7.05,2174,1000,0.0,4782,4472,0.9352
powerline/fonts,25873,Shell,12.15,75,1,0.15,253,98,0.3874
tmrts/go-patterns,25869,Go,9.17,10,0,0.01,30,13,0.4333
mozilla/DeepSpeech,25834,C++,8.7,1338,105,0.0,2112,1986,0.9403
ZuodaoTech/everyone-can-use-english,25794,TypeScript,5.92,455,46,0.0,428,370,0.8645
alibaba/fastjson,25776,Java,13.28,418,84,0.09,3630,1695,0.4669
DrKLO/Telegram,25776,Java,11.3,20,95,0.03,0,0,0.0
TanStack/table,25764,TypeScript,8.32,958,267,0.05,2467,2272,0.921
JakeChampion/fetch,25761,JavaScript,10.34,197,56,2.43,655,647,0.9878
hwdsl2/setup-ipsec-vpn,25753,Shell,9.1,44,0,0.01,1480,1480,1.0
refined-github/refined-github,25747,TypeScript,8.99,3309,165,0.06,4317,4202,0.9734
fyne-io/fyne,25742,Go,7.02,1871,49,0.13,2983,2318,0.7771
academic/awesome-datascience,25721,Não especificada,10.61,364,11,0.15,60,59,0.9833
Modernizr/Modernizr,25714,JavaScript,15.38,811,27,0.53,1495,1324,0.8856
haizlin/fe-interview,25682,JavaScript,5.83,8,2,0.03,6026,26,0.0043
discordjs/discord.js,25682,TypeScript,9.51,4669,264,0.05,4050,3972,0.9807
terryum/awesome-deep-learning-papers,25679,TeX,8.7,39,0,0.01,26,11,0.4231
request/request,25675,JavaScript,14.06,650,0,0.39,2283,2174,0.9523
sdras/awesome-actions,25655,Não especificada,6.33,445,0,0.17,41,27,0.6585
iced-rs/iced,25650,Rust,5.58,973,17,0.17,1154,859,0.7444
requarks/wiki,25620,Vue,8.49,373,121,0.01,2478,2419,0.9762
opendatalab/MinerU,25613,Python,0.96,585,91,0.01,949,897,0.9452
