id;full_name;description;language;stargazers_count;forks_count;open_issues_count;pr_count
843222;scikit-learn/scikit-learn;scikit-learn: machine learning in Python;Python;61686;25749;2169;508
18408635;chrislgarry/Apollo-11;Original Apollo 11 Guidance Computer (AGC) source code for the command and lunar modules.;Assembly;61572;7178;123;206
63477660;TheAlgorithms/Java;All Algorithms implemented in Java;Java;61280;19839;6;435
3228505;atom/atom;:atom: The hackable text editor;JavaScript;60376;17357;993;182
261787758;bradtraversy/design-resources-for-developers;Curated list of design and UI resources from stock photos, web templates, CSS frameworks, UI libraries, tools and much more;;60359;11688;0;199
3955647;lodash/lodash;A modern JavaScript utility library delivering modularity, performance, & extras.;JavaScript;60306;7064;96;111
3402537;h5bp/Front-end-Developer-Interview-Questions;A list of helpful front-end related questions you can use to interview potential candidates, test yourself or completely ignore.;Nunjucks;60223;11100;42;168
167174;jquery/jquery;jQuery JavaScript Library;JavaScript;59474;20626;95;447
94911145;facebook/docusaurus;Easy to maintain open source documentation websites.;TypeScript;59239;8949;338;155
163883279;nektos/act;Run your GitHub Actions locally 🚀;Go;59107;1501;223;254
666299222;OpenInterpreter/open-interpreter;A natural language interface for computers;Python;59036;5028;258;118
460078;angular/angular.js;AngularJS - HTML enhanced for web apps!;JavaScript;58733;27421;463;354
134017286;jesseduffield/lazygit;simple terminal UI for git commands;Go;58548;2007;840;392
71948498;localstack/localstack;💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline;Python;58512;4134;332;558
51980455;alacritty/alacritty;A cross-platform, OpenGL terminal emulator.;Rust;58267;3093;329;505
6838921;prometheus/prometheus;The Prometheus monitoring system and time series database.;Go;58047;9493;700;474
290882787;FuelLabs/fuel-core;Rust full node implementation of the Fuel v2 protocol.;Rust;57726;2839;153;515
42489829;rust-lang/rustlings;:crab: Small exercises to get you used to reading and writing Rust code!;Rust;57484;10542;66;166
486550;h5bp/html5-boilerplate;A professional front-end template for building fast, robust, and adaptable web apps or sites.;JavaScript;56888;12284;15;197
71995937;nuxt/nuxt;The Intuitive Vue Framework.;TypeScript;56718;5211;895;505
8514;rails/rails;Ruby on Rails;Ruby;56711;21812;1287;222
173228436;NationalSecurityAgency/ghidra;Ghidra is a software reverse engineering (SRE) framework;Java;56115;6272;1702;160
36040894;gatsbyjs/gatsby;The best React-based framework with performance, scalability and security built in.;JavaScript;55806;10295;420;292
635240594;zylon-ai/private-gpt;Interact with your documents using the power of GPT, 100% privately, no data leaks;Python;55576;7453;266;293
594155488;Stirling-Tools/Stirling-PDF;#1 Locally hosted web application that allows you to perform various operations on PDF files;Java;55548;4619;222;460
127407957;azl397985856/leetcode;LeetCode Solutions: A Record of My Problem Solving Journey.( leetcode题解，记录自己的leetcode解题之路。);JavaScript;55230;9481;11;126
529502;scrapy/scrapy;Scrapy, a fast high-level web crawling & scraping framework for Python.;Python;54818;10731;623;422
15019962;tldr-pages/tldr;📚 Collaborative cheatsheets for console commands;Markdown;54657;4408;203;587
19872456;remix-run/react-router;Declarative routing for React;TypeScript;54511;10525;300;178
599320067;langflow-ai/langflow;Langflow is a powerful tool for building and deploying AI-powered agents and workflows.;Python;54431;5953;897;443
660551251;geekan/MetaGPT;🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming;Python;54331;6440;97;318
36502;git/git;Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.;C;54199;26091;229;124
42408804;traefik/traefik;The Cloud Native Application Proxy;Go;54045;5285;639;524
634224458;AntonOsika/gpt-engineer;CLI platform to experiment with codegen. Precursor to: https://lovable.dev;Python;53789;7051;37;163
108761645;nocodb/nocodb;🔥 🔥 🔥 Open Source Airtable Alternative;TypeScript;53609;3748;660;547
264818686;ultralytics/yolov5;YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite;Python;53317;16803;244;151
641656392;unionlabs/union;The trust-minimized, zero-knowledge bridging protocol, designed for censorship resistance, extremely high security, and usage in decentralized finance.;Rust;52787;2651;307;494
1362490;psf/requests;A simple, yet elegant, HTTP library.;Python;52693;9418;279;323
771302083;All-Hands-AI/OpenHands;🙌 OpenHands: Code Less, Make More;Python;52562;5829;303;439
