nameWithOwner,url,stargazerCount,primaryLanguage,createdAt,updatedAt,defaultBranchRef,releases,pullRequests,issues,closedIssues,age_days,days_since_update,language,issues_closed_ratio,pr_count,release_count
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,123059,{'name': 'JavaScript'},2017-11-29 17:35:03+00:00,2025-03-14 21:16:22+00:00,{'name': 'master'},{'totalCount': 11},{'totalCount': 821},{'totalCount': 296},{'totalCount': 296},2662.172898717361,0.019206587731481484,JavaScript,1.0,821,11
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,122828,{'name': 'TypeScript'},2016-07-05 05:00:48+00:00,2025-03-14 21:21:05+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 466},{'totalCount': 108},{'totalCount': 70},3174.6966834395835,0.01593112476851852,TypeScript,0.6481481481481481,466,0
f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,121557,{'name': 'HTML'},2022-12-05 13:54:13+00:00,2025-03-14 21:37:53+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 159},{'totalCount': 0},{'totalCount': 0},830.3262551988427,0.004264458101851852,HTML,0.0,159,0
facebook/react-native,https://github.com/facebook/react-native,121045,{'name': 'C++'},2015-01-09 18:10:16+00:00,2025-03-14 21:42:43+00:00,{'name': 'main'},{'totalCount': 377},{'totalCount': 893},{'totalCount': 26722},{'totalCount': 26128},3717.1484426988427,0.0009079766203703703,C++,0.9777711249157998,893,377
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,119009,{'name': 'C'},2017-11-21 18:00:27+00:00,2025-03-14 20:54:10+00:00,{'name': 'master'},{'totalCount': 44},{'totalCount': 109},{'totalCount': 5275},{'totalCount': 3038},2670.1552598284725,0.034623254398148146,C,0.5759241706161138,109,44
microsoft/PowerToys,https://github.com/microsoft/PowerToys,116225,{'name': 'C#'},2019-05-01 17:44:02+00:00,2025-03-14 21:23:17+00:00,{'name': 'main'},{'totalCount': 110},{'totalCount': 5125},{'totalCount': 31849},{'totalCount': 25920},2144.166660291435,0.014403346990740742,C#,0.813840308957895,5125,110
electron/electron,https://github.com/electron/electron,115841,{'name': 'C++'},2013-04-12 01:47:36+00:00,2025-03-14 20:16:11+00:00,{'name': 'main'},{'totalCount': 1000},{'totalCount': 21762},{'totalCount': 20621},{'totalCount': 19758},4354.83085010625,0.06100056921296296,C++,0.9581494592890742,21762,1000
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,113685,{'name': 'Go'},2014-06-06 22:56:04+00:00,2025-03-14 21:11:59+00:00,{'name': 'master'},{'totalCount': 728},{'totalCount': 60999},{'totalCount': 46814},{'totalCount': 44916},3933.9499704766204,0.022250569212962965,Go,0.9594565728200966,60999,728
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,112901,,2013-11-04 01:59:19+00:00,2025-03-14 20:17:37+00:00,{'name': 'main'},{'totalCount': 3},{'totalCount': 282},{'totalCount': 0},{'totalCount': 0},4148.822713532176,0.06000519884259259,None,0.0,282,3
nodejs/node,https://github.com/nodejs/node,110127,{'name': 'JavaScript'},2014-11-26 19:57:11+00:00,2025-03-14 21:20:40+00:00,{'name': 'main'},{'totalCount': 432},{'totalCount': 9891},{'totalCount': 18877},{'totalCount': 17229},3761.0741950136576,0.01622047662037037,JavaScript,0.9126979922657202,9891,432
krahets/hello-algo,https://github.com/krahets/hello-algo,110125,{'name': 'Java'},2022-11-04 11:08:34+00:00,2025-03-14 20:50:46+00:00,{'name': 'main'},{'totalCount': 9},{'totalCount': 916},{'totalCount': 257},{'totalCount': 235},861.4412899210649,0.03698436550925926,Java,0.914396887159533,916,9
d3/d3,https://github.com/d3/d3,110059,{'name': 'Shell'},2010-09-27 17:22:42+00:00,2025-03-14 21:03:39+00:00,{'name': 'main'},{'totalCount': 194},{'totalCount': 492},{'totalCount': 2223},{'totalCount': 2215},5282.18147510625,0.02803760625,Shell,0.9964012595591543,492,194
axios/axios,https://github.com/axios/axios,106517,{'name': 'JavaScript'},2014-08-18 22:30:27+00:00,2025-03-14 21:37:02+00:00,{'name': 'v1.x'},{'totalCount': 91},{'totalCount': 947},{'totalCount': 4777},{'totalCount': 4210},3860.9677598284725,0.00485473587962963,JavaScript,0.8813062591584676,947,91
mrdoob/three.js,https://github.com/mrdoob/three.js,104957,{'name': 'JavaScript'},2010-03-23 18:58:01+00:00,2025-03-14 21:36:17+00:00,{'name': 'dev'},{'totalCount': 166},{'totalCount': 13809},{'totalCount': 12885},{'totalCount': 12447},5470.115282976621,0.005375569212962963,JavaScript,0.9660069848661234,13809,166
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,104087,{'name': 'Python'},2020-10-26 04:22:55+00:00,2025-03-14 21:34:59+00:00,{'name': 'master'},{'totalCount': 104},{'totalCount': 2549},{'totalCount': 8830},{'totalCount': 7297},1600.7229913099538,0.00627834699074074,Python,0.82638731596829,2549,104
microsoft/TypeScript,https://github.com/microsoft/TypeScript,103301,{'name': 'TypeScript'},2014-06-17 15:28:39+00:00,2025-03-14 21:28:52+00:00,{'name': 'main'},{'totalCount': 208},{'totalCount': 14563},{'totalCount': 41811},{'totalCount': 36254},3923.260676495139,0.010526032175925926,TypeScript,0.8670923919542705,14563,208
langchain-ai/langchain,https://github.com/langchain-ai/langchain,103292,{'name': 'Jupyter Notebook'},2022-10-17 02:58:36+00:00,2025-03-14 21:41:19+00:00,{'name': 'master'},{'totalCount': 826},{'totalCount': 13344},{'totalCount': 8284},{'totalCount': 7951},879.7815445506945,0.0018801988425925927,Jupyter Notebook,0.9598020280057943,13344,826
